Round;Timestamp;AccX;AccY;UpperBound;LowerBound
6;9951;-7.6498327;-2.8211415;3.5;-3.5
6;10002;-7.9072404;-3.418613;3.5;-3.5
6;10054;-6.392982;-2.1171148;3.5;-3.5
6;10106;-7.8804607;-0.675592;3.5;-3.5
6;10156;-9.157866;-0.44296053;3.5;-3.5
6;10209;-8.956946;0.79521495;3.5;-3.5
6;10262;-9.22156;1.6538441;3.5;-3.5
6;10315;-8.952755;2.9845557;3.5;-3.5
6;10367;-9.072297;3.8107345;3.5;-3.5
6;10419;-8.854796;4.99604;3.5;-3.5
6;10471;-8.433953;5.701296;3.5;-3.5
6;10523;-8.513432;4.45088;3.5;-3.5
6;10575;-7.4429893;3.9071836;3.5;-3.5
6;10628;-6.893153;3.4415538;3.5;-3.5
6;10681;-5.0512896;2.547524;3.5;-3.5
6;10732;-2.7124884;1.0060033;3.5;-3.5
6;10785;-1.5953239;1.9672585;3.5;-3.5
6;10837;-0.39280146;2.024484;3.5;-3.5
6;10889;-0.50754166;2.3373427;3.5;-3.5
6;10940;-0.7519659;1.5621063;3.5;-3.5
6;10993;-0.94364625;1.6402239;3.5;-3.5
6;11045;-2.4068465;0.64071214;3.5;-3.5
6;11097;-3.0037143;0.4140942;3.5;-3.5
6;11150;-4.189045;-0.61467546;3.5;-3.5
6;11202;-3.9378886;-0.07484315;3.5;-3.5
6;11254;-2.9652593;-0.3830951;3.5;-3.5
6;11306;-3.1295884;0.2481077;3.5;-3.5
6;11360;-2.6754189;0.040480677;3.5;-3.5
6;11411;-1.2218429;0.19401026;3.5;-3.5
6;11462;-0.9113762;0.9312336;3.5;-3.5
6;11514;-0.7833589;1.5370867;3.5;-3.5
6;11566;-0.7208485;1.4442396;3.5;-3.5
6;11619;-0.33232877;1.4790425;3.5;-3.5
6;11673;0.34433076;1.3527602;3.5;-3.5
6;11726;0.19745636;1.7135539;3.5;-3.5
6;11778;-0.4528482;0.93359965;3.5;-3.5
6;11829;-0.5770318;0.2747538;3.5;-3.5
6;11882;-1.3842405;0.3802376;3.5;-3.5
6;11934;-2.092613;0.120715484;3.5;-3.5
6;11986;-2.355262;0.17392066;3.5;-3.5
6;12038;-2.7495098;-0.10844477;3.5;-3.5
6;12090;-1.4193449;0.10394363;3.5;-3.5
6;12142;-0.28586763;0.05985508;3.5;-3.5
6;12193;-2.58071;-1.261026;3.5;-3.5
6;12244;3.545813;4.453215;3.5;-3.5
6;12265;1.7633295;4.4208937;3.5;-3.5
