Round;Timestamp;AccX;AccY;AccZ;Acc Vector a;;;
7;03:34:38:322;-1.0048248;-1.1689495;-0.10460663;1.545010763;;;
7;03:34:38:332;-0.55095804;-1.1037693;0.017902374;1.233767396;;;
7;03:34:38:342;-0.3493371;-0.95891595;-0.14765072;1.031192027;;;
7;03:34:38:353;-0.37473726;-0.7251184;0.15154552;0.830175129;;;
7;03:34:38:363;-0.35450178;-0.4112711;0.0932951;0.550925946;;;
7;03:34:38:374;-0.42248112;-0.30980992;0.04948902;0.526233437;;;
7;03:34:38:385;-0.59647393;0.042104125;0.021123886;0.59833112;;;
7;03:34:38:394;-0.002440689;1.5979555;0.010393143;1.597991088;;;
7;03:34:38:405;0.092613764;1.5674467;0.035211563;1.570575142;;;
7;03:34:38:415;0.07473326;1.4193213;0.040309906;1.421858903;;;
7;03:34:38:427;0.08449818;1.2773892;0.019040108;1.280322414;;;
7;03:34:38:437;0.07604836;1.1755075;0.01713562;1.1780895;;;
7;03:34:38:447;0.0598244;1.0665759;0.032660484;1.068751457;;;
7;03:34:38:458;0.053841956;0.9771565;0.020775795;0.978859268;;;
7;03:34:38:469;0.057076883;0.8708217;0.018698692;0.872890518;;;
7;03:34:38:480;0.042750068;0.7578821;-4.10E-04;0.759086992;;;
7;03:34:38:490;0.04709418;0.66485566;0.016869545;0.66673495;;;
7;03:34:38:501;0.033765636;0.6069892;0.015182495;0.608117199;;;
7;03:34:38:512;0.035969295;0.5157948;0.02867508;0.517841977;;;
7;03:34:38:523;0.02375324;0.45559618;0.008569717;0.456295448;;;
7;03:34:38:534;0.012758791;0.41003653;-9.07E-04;0.410235988;;;
7;03:34:38:545;0.020102046;0.3517946;-0.009435654;0.352494773;;;
7;03:34:38:555;0.018091843;0.3252343;1.27E-04;0.325737121;;;
7;03:34:38:565;0.024901785;0.30132997;1.14E-04;0.302357174;;;
7;03:34:38:575;0.005173355;0.27119696;-0.008516312;0.271379958;;;
7;03:34:38:585;0.021894276;0.24407724;-0.007664681;0.245177083;;;
7;03:34:38:595;0.019704849;0.21105039;-0.00689888;0.212080508;;;
7;03:34:38:605;0.017734364;0.19856447;-0.006209374;0.199451535;;;
7;03:34:38:616;0.015960924;0.17870802;0.003030777;0.179444958;;;
7;03:34:38:627;0.005745709;0.16083722;-0.0058918;0.16104763;;;
7;03:34:38:638;0.005171143;0.13613439;0.003315926;0.136272909;;;
7;03:34:38:649;0.012807749;0.11113075;0.002685547;0.111898592;;;
7;03:34:38:660;0.00290785;0.09139854;0.011035919;0.092108305;;;
7;03:34:38:671;0.011236191;0.09949693;0.00131321;0.100137986;;;
7;03:34:38:682;0.001493447;0.08954723;0.001181603;0.08956748;;;
7;03:34:38:693;0.001344107;0.080592506;0.001063347;0.080610728;;;
7;03:34:38:703;0.001209699;0.07253325;-0.007662773;0.072946926;;;
7;03:34:38:713;-0.007530406;0.0566608;0.001722336;0.057184962;;;
7;03:34:38:724;0.001841769;0.050994717;0.001549721;0.051051491;;;
7;03:34:38:735;0.001657598;0.03727612;0.001394272;0.037338997;;;
7;03:34:38:744;-0.0071273;0.042167634;0.001255035;0.042784143;;;
7;03:34:38:755;0.010823689;0.046569988;0.00112915;0.047824587;;;
7;03:34:38:765;1.48E-04;0.029102564;0.009532929;0.030624466;;;
7;03:34:38:776;1.33E-04;0.017573185;0.008579254;0.019556027;;;
7;03:34:38:787;0.008739062;0.024434991;-0.00951767;0.027641021;;;
7;03:34:38:797;-7.54E-04;0.039229743;5.34E-05;0.039237023;;;
7;03:34:38:807;-6.79E-04;0.009449393;0.008666992;0.012840102;;;
7;03:34:38:818;0.008008413;0.017123576;-8.19E-04;0.018921487;;;
7;03:34:38:829;-0.00141155;0.015411217;-7.37E-04;0.015493274;;;
7;03:34:38:840;0.007348731;0.013870094;-6.64E-04;0.015710631;;;
7;03:34:38:849;0.006613858;0.012483083;-5.98E-04;0.014139591;;;
7;03:34:38:860;-0.002666652;0.019853903;0.008081436;0.021600882;;;
7;03:34:38:870;-0.002399981;0.035106763;-0.009964943;0.036572459;;;
7;03:34:38:881;0.006459139;0.005738709;-0.017586708;0.01959453;;;
7;03:34:38:890;-0.002805896;0.005164839;0.001410484;0.006044674;;;
7;03:34:38:901;0.006093815;0.013267482;0.018507957;0.023573399;;;
7;03:34:38:911;0.0057979;0.002989445;-0.008280754;0.010541504;;;
7;03:34:38:921;0.0057979;0.002989445;-0.008280754;0.010541504;;;
7;03:34:38:932;0.006420128;0.00242145;0.001049995;0.006941466;;;
7;03:34:38:943;-0.002841003;0.010798434;9.45E-04;0.011205831;;;
7;03:34:38:952;0.006062225;-0.007519662;0.018089294;0.020506547;;;
7;03:34:38:963;0.005456001;0.010470556;0.007660866;0.014074422;;;
7;03:34:38:972;-0.01232785;0.009423504;0.006895065;0.016979995;;;
7;03:34:38:983;-0.002475932;0.008481154;0.006205559;0.010796721;;;
